constraint_id,module,hardness,check_mode,score_type,constraint_text,description,source
FS-10,FS,soft,LLM-as-a-judge,binary,用通俗语言，避免专业术语,要求尽量降低专业术语密度并提高可读性,FollowBench Style Constraint
FS-11,FS,soft,LLM-as-a-judge,binary,仅基于提供的材料作答,要求回答不越界，不引入材料外事实,SciIF Boundary Conditions
FS-12,FS,soft,LLM-as-a-judge,binary,按{order_field}从高到低排序输出,要求输出内容按照指定维度降序排列,FIFE L1-10 排序/过滤
FS-14,FS,soft,LLM-as-a-judge,binary,假设当前处于{市场环境}下进行分析,要求在指定市场环境前提下给出分析,Ren et al. ACL 2025 Findings / FollowSoftConstraint Situation: Define Context
FS-15,FS,soft,LLM-as-a-judge,binary,以{目标}为首要考量,要求将指定目标设为分析或建议的最高优先级,Ren et al. ACL 2025 Findings / FollowSoftConstraint Situation: Prioritize Outcomes
FS-16,FS,soft,LLM-as-a-judge,binary,以{文档类型}的风格撰写,要求模仿指定文档体裁或写作风格,Ren et al. ACL 2025 Findings / FollowSoftConstraint Style: Writing Mimicry
FS-17,FS,soft,LLM-as-a-judge,binary,在{条件}这一假设下进行分析,要求在指定附加条件成立时展开分析,Ren et al. ACL 2025 Findings / FollowSoftConstraint Situation: Add Dependencies
GH-16,GH,hard,rule,binary,控制在{N}分钟的演讲/汇报时长,要求输出长度与指定演讲时长匹配（按250字/分钟估算）,WritingBench Pitch Deck / Briefing
GH-17,GH,hard,rule,binary,包含完整文档要素（封面/目录/附件清单/签章位置等）,要求输出包含正式文档的结构要素,WritingBench Contract / Tender
GH-18,GH,hard,rule,binary,不得使用任何表格,反直觉约束：禁止使用Markdown表格呈现对比信息,Inverse IFEval 设计
GH-19,GH,hard,rule,binary,不得使用任何列表（编号列表或项目符号）,反直觉约束：禁止列表格式，要求纯段落表达,Inverse IFEval 设计
GH-20,GH,hard,rule,binary,以第一人称叙事口吻撰写，不得使用"本报告""本文"等,反直觉约束：禁止第三人称客观叙述,Inverse IFEval 设计
GS-8,GS,soft,LLM-as-a-judge,binary,适合{目标受众}阅读,要求输出的用词深度和语气与指定受众匹配,WritingBench 多任务
GS-9,GS,soft,LLM-as-a-judge,binary,语气{诚恳/有感染力/有说服力},要求输出语气达到指定效果,WritingBench Recruitment / Pitch
FH-8,FH,hard,rule,binary,全文不得出现百分号（%）符号,反直觉约束：禁止使用%符号表达比率,Inverse IFEval 设计
FH-9,FH,hard,rule,binary,全文不得出现任何阿拉伯数字,反直觉约束：所有数值须用中文大写或文字表述,Inverse IFEval 设计
FS-13,FS,soft,LLM-as-a-judge,binary,不得使用金融术语英文缩写（如ROE/PE/EBITDA等）,反直觉约束：金融缩写须用中文全称,Inverse IFEval 设计
FS-18,FS,soft,LLM-as-a-judge,binary,重点包含/分析{指定内容},要求对LLM指定的分析方向进行实质性讨论,WritingBench Financial Reports
FS-19,FS,soft,LLM-as-a-judge,binary,包含{分析/评估/建议/对比}等多类型内容板块,要求输出覆盖多种内容板块类型,WritingBench Investment Analysis
FS-20,FS,soft,LLM-as-a-judge,binary,需详细说明/列明{具体要素},要求对指定要素展开详细说明,WritingBench Contract / Tender
FS-21,FS,soft,LLM-as-a-judge,binary,包含竞品/同业对比分析,要求输出包含有对比对象和维度的竞品分析,WritingBench Market Analysis
FS-22,FS,soft,LLM-as-a-judge,binary,包含趋势预测/未来展望,要求输出包含前瞻性判断或预测,WritingBench Strategic Planning
FS-23,FS,soft,LLM-as-a-judge,binary,包含预算/成本分析,要求输出包含具体的预算分配或成本构成,WritingBench Event Planning / Bid
FS-24,FS,soft,LLM-as-a-judge,binary,风险因素按重要性从低到高排列,反直觉约束：要求反常规排序,Inverse IFEval 设计
