id,workflow,task,quality,micro,failed_tags,priority_tags,selection_score,query
execution_board_regulatory_reporting_repaired_026,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,3,0.625,DB7;DB9;EG2,DB7;DB9,14.162,"Draft a regulatory filing exception narrative for Sequoia Municipal Fund. State whether the regulatory deadline was missed, distinguish the internal due-date miss from the regulatory filing deadline, identify root cause and impact, decide whether board notification is required, and include the corrective-action topic to track. Produce the regulatory filing exception narrative under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication. Open the regulatory filing exception narrative with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_aml_red_flag_review_repaired_009,Risk and Compliance Review,AML red-flag review,3,0.625,DB7;DB9;EG2,DB7;DB9,14.162,"Create a missing KYC evidence checklist for AML-RF-009. Separate missing evidence from suspicious activity indicators, cite where each gap appears, identify which gaps block alert closure, name the owner for follow-up, and do not treat the relationship manager promise as received documentation. Produce the missing KYC evidence checklist under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the missing KYC evidence checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the missing KYC evidence checklist with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_portfolio_proposal_023,Decision and Structuring,Portfolio proposal,3,0.727273,DB9;EG2;QV2,DB9;QV2,13.418,"Prepare a fee-sensitive ETF conversion proposal for Ridge Advisory Account. Present the output as current fund versus ETF table. Use only the provided documents and cite visible material labels for material facts. The proposal must calculate expense-ratio difference in basis points; assess whether exposure continuity is preserved; recommend convert, defer, or request more information; and do not state lower fees guarantee better net performance. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the fee-sensitive ETF conversion proposal under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the fee-sensitive ETF conversion proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_underwriting_memo_repaired_007,Decision and Structuring,Underwriting memo,3,0.727273,DB9;EG2;QV2,DB9;QV2,13.418,"Write the hotel acquisition underwriting exception memo for Bayfront Hospitality JV. Show the computed LTV and DSCR, call out any PIP reserve shortfall in dollars, determine the required committee route, and state whether franchise consent can be waived. Use only the three documents and cite evidence in-line. Do not recommend closing before the unresolved conditions are cleared. Produce the hotel acquisition underwriting exception memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the hotel acquisition underwriting exception memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_010,Decision and Structuring,Capital structure / financing proposal,3,0.7,DB9;EG2;QV2,DB9;QV2,13.35,"Draft an investor-facing financing proposal summary for Redwood Learning Platforms. Use three sections titled Sources and Uses, Capital Structure Impact, and Investor Protections. Use only the provided documents, cite visible material labels, reconcile the $35.0 million funding objective to the listed uses, calculate pro forma debt/EBITDA after the first-lien debt, discuss the preferred equity liquidation preference and delayed-draw feature, include the 75-day diligence-to-close window, and avoid promissory language about closing or future performance. Produce the investor-facing financing proposal under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the investor-facing financing proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_trade_order_ticket_preparation_007,Decision and Structuring,Trade order ticket preparation,3,0.666667,DB9;EG2;QV2,DB9;QV2,13.267,"Prepare an ETF switch order pair for MDL-6105. Separate the sell leg and buy leg, calculate the OCUE shares to sell for an estimated $40,000 based on the provided last price, calculate estimated NCUE shares purchasable from the same proceeds, round the buy shares down to whole shares, cite price and holding sources, and mark both legs day orders. Produce the ETF switch order pair under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the ETF switch order pair with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_remediation_tracking_repaired_011,"Execution, Monitoring, Reporting, and Operations",Remediation tracking,3,0.625,DB9;EG2;QV2,DB9;QV2,13.162,"Create a validation exception action plan for OPS-77. Categorize the exception types with counts, explain why the item cannot move to Pending closure, assign the revised corrective action to the owner, and propose a retest period. Keep design adequacy separate from operating effectiveness. Produce the validation exception action plan under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the validation exception action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_board_regulatory_reporting_repaired_014,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,3,0.666667,EG2;QV2;QV5,QV2;QV5,12.267,"Create a regulatory filing calendar status report for Summit Fund Series. Assign a status label to each filing-calendar task, calculate days until due date for open tasks using June 18, 2026 as the current date, flag tasks that are At risk or Late, mention prior month filing acceptance, and list the immediate next steps. Produce the regulatory filing calendar status report under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication. Open the regulatory filing calendar status report with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_service_scope_repaired_014,Intake and Profiling,Service scope explanation,6,0.916667,QV2,QV2,11.492,"Build a what-we-can-and-cannot-do checklist for Martin Cho's profile update request. use only the provided materials. Separate the checklist into Can do now, Need from you, and Cannot decide at intake. Mention the stale profile date and the 2-business-day review timing. Do not say whether the leveraged ETF is suitable or accept the trade instruction. Produce the what-we-can-and-cannot-do checklist under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the what-we-can-and-cannot-do checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_counterparty_issuer_profile_construction_repaired_019,Intake and Profiling,Counterparty / issuer profile construction,6,0.909091,DB9,DB9,11.473,"Profile Moss River Dairy Cooperative for commodity hedging intake using only the supplied context. Summarize commodity exposure, hedge purpose, expected notional, collateral terms, financial capacity, operational contacts, and documentation gaps. Compute expected notional as a percentage of annual commodity purchases, flag Treasury review triggers and documentation gaps, cite visible material labels for concerns, and do not authorize hedge execution. Produce the commodity hedging counterparty profile under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the commodity hedging counterparty profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_client_risk_profiling_repaired_002,Intake and Profiling,Client risk profiling,3,0.727273,DB9;EG2;QV6,DB9;QV6,11.418,"Create a capacity-for-loss review for Elena Ortiz before her retirement-income profile is finalized. Give a yes/no capacity sufficiency conclusion, calculate her emergency-reserve months after the planned withdrawal, identify which facts are client statements versus reviewer conclusions, list open questions, and avoid changing her risk tolerance solely because of age. Produce the capacity-for-loss review under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the capacity-for-loss review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_suitability_review_repaired_018,Risk and Compliance Review,Suitability review,3,0.909091,DB7,DB7,11.273,"Evaluate the covered-call income strategy for SR-018. Confirm whether the strategy matches the account options approval, compute covered notional as a percentage of portfolio value, estimate annual premium dollars from the stated rate, discuss upside limitation and downside exposure, and avoid calling the strategy principal protected. Produce the covered-call income strategy review under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any stress, sensitivity, shock, downside, or scenario test, keep the assumption, horizon, source inputs, formula or comparison, and final result tied together; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the covered-call income strategy review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_018,Decision and Structuring,Capital structure / financing proposal,3,0.9,DB7,DB7,11.25,"Draft an acquisition financing sources-and-uses memo for MeadowPay Payments. Reconcile total sources to total uses before making a recommendation. Use only the provided documents, cite visible material labels, calculate pro forma total debt/EBITDA including the seller note, compare it with the 4.00x lender cap, discuss the subordination and payment-in-kind features, identify any funding gap or surplus, and recommend whether to proceed, resize, or defer. Produce the acquisition financing sources-and-uses memo under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the acquisition financing sources-and-uses memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
