item_id,workflow,task,if_score,quality_raw,failed_tags,eg2_only,query_explicit,full_prompt_explicit,constraint_present,eg2_constraint,judge_reason,response_excerpt
tonight_hard_line_308,Risk and Compliance Review,Regulatory issue escalation,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"**Short-Sale Compliance Escalation Brief — ESC-2024**

**Matter:** Missing short-sale locate evidence requiring escalation review.  
**Scope date:** 2026-05-06.  
**Security scope:** one microcap security. [order ticket]

1. **Active-case trigger and threshold reconciliation**  
   Source inputs: 83 short-sale orders with missing locate records in one microcap security on 2026-05-06. [order ticket] Governing trigger: missing locate evidence for more than 25 short-sale orders in a security must be escalated to Trading Supervision, Compliance, and Legal. [correction procedure]  
   Calculation/comparison: 83 orders − 25-order threshold = 58 orders above threshold; 83 ÷ 25 = 3.32x threshold, or 232.00% above threshold.  
   Business implication: ESC-2024 meets the mandatory escalation trigger and cannot be treated as cleared at intake. [correction procedure]

2. **Manual override status and stated reason**  
   The order management system shows locate status as “manual override.” [order ticket] The trading desk states that locates were obtained by phone. [order ticket] However, the documented override reason is not substantiated in the packet because no call logs or lender confirmati..."
tonight_hard_line_309,Decision and Structuring,Trade order ticket preparation,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts have active source labels next to them.,"**Account Restriction Decline Ticket — Kilo Energy Request**

> [conditional hold matrix] Client Fiona Patel asks to buy 200 shares of Kilo Energy (KENG) at market in account FP-3131.  
> [trigger policy — Account Restriction Record] Account FP-3131 has a do-not-trade restriction effective 2026-06-01 pending estate documentation. No purchases or sales may be entered until Operations removes the restriction.

## Ticket classification and disposition

This ticket is classified as **Not Enterable** for execution. The requested transaction is a purchase, and the governing restriction states that **no purchases or sales may be entered** for account FP-3131 until Operations removes the restriction. The issue is routed to **Operations** because the active trigger policy identifies Operations as the authority required to remove the restriction. No substitute trade instructions are provided.

## Requested trade captured

| Field | Captured value | Source |
|---|---:|---|
| Client | Fiona Patel | [conditional hold matrix] |
| Account | FP-3131 | [conditional hold matrix]; [trigger policy — Account Restriction Record] |
| Side | Buy | [conditional hold matrix] |
| Security | Kilo Energy | [c..."
tonight_hard_line_353,Research and Due Diligence,Credit due diligence,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"**Childcare Borrower Credit Diligence Snapshot — Willow Creek Childcare LLC**

1. **Request / evidence base:** Willow Creek Childcare LLC requests a $950,000 SBA-style term loan; licensed capacity is 120 children, current enrollment is 96 children, waitlist is 18 children, LTM EBITDA is $310,000, and proposed annual debt service is $265,000 [platform-rules case excerpt].

2. **Occupancy calculation / trigger test:** Governing rule requires occupancy = current enrollment ÷ licensed capacity, with hold if below 80.00% [OrbitPay economics packet]. Calculation: 96 ÷ 120 = **80.00%** [platform-rules case excerpt]. Business implication: occupancy is exactly at the 80.00% threshold, so the occupancy trigger is **not breached**; no occupancy-based hold is indicated under the stated rule [OrbitPay economics packet].

3. **DSCR calculation / trigger test:** Governing rule requires DSCR = EBITDA ÷ proposed annual debt service, with hold if below 1.20x [OrbitPay economics packet]. Calculation: $310,000 ÷ $265,000 = **1.17x** [platform-rules case excerpt]. Business implication: DSCR is below 1.20x, creating an active enrollment-support hold / credit exception that must be resolved or waived be..."
tonight_hard_line_023,Decision and Structuring,Underwriting memo,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some decision points lack active source labels next to them.,"**CRE Underwriting Exception Note — Midtown Works Refinance**

1. **Transaction evidence:** Midtown Works LLC requests a **$14.0 million** refinance on a **78,000 square-foot suburban office building** with **$19.0 million** appraised as-is value, **$1.78 million** NOI, **$1.45 million** proposed annual debt service, **84.00%** occupancy, and a requested **24-month interest-only period** [geography screening file].

2. **LTV check / exception:** Formula: **$14.0 million loan ÷ $19.0 million value = 73.68% LTV** [geography screening file]. Policy maximum LTV is **70.00%** [EDD threshold rule]. Result is **3.68 percentage points** above policy, creating an LTV underwriting exception requiring waiver authority [EDD threshold rule].

3. **DSCR check / exception:** Formula: **$1.78 million NOI ÷ $1.45 million annual debt service = 1.23x DSCR** [geography screening file]. Policy requires stabilized DSCR of at least **1.25x** [EDD threshold rule]. Result is below policy by approximately **0.02x**, creating a DSCR underwriting exception requiring waiver authority [EDD threshold rule].

4. **Tenant / lease exception screen:** Largest tenant occupies **29.00%** of rentable area with **5.5 y..."
tonight_hard_line_030,Intake and Profiling,Service scope explanation,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and decision points have active source labels next to them.,"**Client request triage note — Dana Whitaker**

Dana Whitaker submitted one email requesting four actions: update address, add a trusted contact, change investment objective to income, and immediately liquidate 60.00 percent of her equity holdings [underwriting policy extract]. Intake must separate administrative items from profile-review and trading requests because staff may process complete administrative updates, request missing trusted-contact/profile information, route signed profile changes for review, and must not treat unsigned profile changes as final or place liquidation trades from an ambiguous service email [risk memo instruction]. Governing diligence standard: the firm must use reasonable diligence in opening and maintaining accounts to know and retain essential customer facts, including facts needed to service the account, follow special handling instructions, understand authority, and comply with applicable rules [credit file snapshot].

Administrative requests: address update — status: documentation complete because address proof was provided [underwriting policy extract]. Next action: process the address update as an administrative maintenance item, subject to st..."
tonight_hard_line_091,Decision and Structuring,DCF valuation / pricing analysis,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"**Civic Data Systems terminal growth sensitivity answer**

**Conclusion: Yes — terminal growth is valuation-critical.** The low-to-high implied share-value spread is **31.02%** of the current share price, exceeding the **25.00%** active-case trigger for valuation-critical treatment. [webpage draft facts]

**Source-stated facts:** Civic Data Systems is a fictional municipal-agency software vendor; subscription revenue was **74.00%** of FY2025 revenue, and renewal timing risk exists due to customer budget cycles. [advertising rule extract (Civic Data Systems Company Note)] The DCF sensitivity states EV of $3.78bn at **1.50%** terminal growth, $4.35bn at **2.50%**, and $5.12bn at **3.50%**; net cash is $240mm, diluted shares are 180mm, current share price is $24.00, and WACC is fixed at **9.00%**. [exam observation note] The governing trigger is: if the low-to-high implied share-value spread exceeds **25.00%** of current share price, flag terminal growth as valuation-critical. [webpage draft facts]

**Reviewer calculation:** Implied share value = (enterprise value + net cash) / diluted shares. [exam observation note]

| Evidence | Test | Result | Action |
|---|---:|---:|---|
| [exam..."
tonight_hard_line_093,Decision and Structuring,Credit memo drafting,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"**Tenor Policy Waiver Request Memo — Blueglass Marine Services**

**Borrower / request.** Blueglass Marine Services, described as a fictional boat-maintenance contractor, requests a $3,700,000 equipment loan for dry-dock cranes with proposed amortization of 84 months. The equipment appraisal states remaining useful life of 72 months. Adjusted EBITDA is $1,300,000, and annual debt service under the proposed structure is $720,000. The relationship manager asks for approval without a formal policy waiver. [wrap-fee conversion file]

1. **Governing tenor rule.** Equipment loan amortization is capped at the lesser of 60 months or remaining useful life. Any tenor above that maximum requires a policy waiver approved by the Senior Credit Officer. The business line cannot self-approve a tenor exception. [transaction-cost history / Equipment Loan Tenor Policy]

2. **Tenor comparison and exception.**  
   - Proposed amortization: 84 months. [wrap-fee conversion file]  
   - Collateral useful life: 72 months. [wrap-fee conversion file]  
   - Policy maximum: lesser of 60 months or 72 months = 60 months. [transaction-cost history / Equipment Loan Tenor Policy; wrap-fee conversion file]  
   -..."
tonight_hard_line_110,Decision and Structuring,Portfolio proposal,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels.,"**Municipal Bond Allocation Proposal — Sage Taxable Portfolio**

Objective and governing context: Sage Taxable Portfolio’s policy allocation is 43.00% equities, 45.00% fixed income, and 12.00% cash or reserve assets [authority evidence file]. The current portfolio value is $7.15 million, with current equity or risk exposure of 62.00% and current reserve or cash exposure of 23.00%; the supplied threshold is 6.00% where applicable [representative roster]. This proposal treats municipal bonds only as a portfolio-allocation fixed-income sleeve for a taxable portfolio and does not provide tax advice or tax outcome assurance [special handling note; Final work-product request].

| Exposure item | Current exposure and dollar amount | Policy target / threshold | Calculation / variance | Pro forma after recommended resize | Evidence and implication |
|---|---:|---:|---:|---:|---|
| Equities / risk assets | 62.00% = $4,433,000 | 43.00% = $3,074,500 | 62.00% − 43.00% = +19.00 percentage points; dollar excess = $1,358,500 | 43.00% = $3,074,500 | Current exposure and portfolio value from [representative roster]; target from [authority evidence file]. Variance exceeds 6.00% threshold, so correct..."
tonight_hard_line_127,Intake and Profiling,Missing information checklist,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some facts lack nearby source labels.,"**Evidence Cure Plan — Harborview Medical Supplies Inc. KYC Refresh**

## Case posture and source controls

- Case type: legal entity KYC refresh; review date 2026-06-11. [fairness rule]  
- Active blocker categories from the KYC refresh policy include missing beneficial-owner or control-person information, expired government identification, missing current physical address, missing tax certification, unresolved sanctions or PEP review, and unexplained ownership changes. Blockers are due within 2 business days. [model trade file]  
- Follow-up categories include address evidence older than 90 days, stale business description, incomplete expected-activity narrative, and unsigned non-critical relationship preferences. Follow-ups are due within 6 business days. [model trade file]  
- CDD requires covered financial institutions to identify and verify beneficial owners of legal entity customers, including any individual owning 25.00% or more and one individual who controls the legal entity; it also requires understanding the nature and purpose of customer relationships and maintaining/updating customer information on a risk basis. [CDD Final Rule | FinCEN.gov — FinCEN staff guidance/so..."
tonight_hard_line_130,Risk and Compliance Review,Internal control review,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some decision points lack active source labels.,"**Model-Change Governance Review Note — Ticket MRC-144**

Scope and governing standard: Ticket MRC-144 covers a VaR model change for a “volatility decay factor update,” with production deployment “scheduled tonight” [line increase policy (VaR Model Change Ticket MRC-144)]. The governing rule states that material model changes require validation sign-off, model owner approval, and Risk Committee notification before production use [seasonal borrowing request]. The active materiality trigger is: a change is material if it changes daily VaR by more than 5.00% for two consecutive back-testing days [seasonal borrowing request]. This note is prepared because the review standard requires the percentage impact calculation for each day, materiality conclusion, missing approvals, and go/no-go production decision [borrowing history note].

VaR impact calculation and comparison: Day 1 source inputs are prior VaR of $8.0 million and revised VaR of $8.7 million [line increase policy (VaR Model Change Ticket MRC-144)]. Formula: (($8.7 million − $8.0 million) / $8.0 million) × 100 = 8.75%. Comparison: 8.75% is greater than the 5.00% materiality trigger [seasonal borrowing request]. Business implic..."
tonight_hard_line_152,Risk and Compliance Review,AML red-flag review,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and decisions have active source labels next to them.,"**No-Escalation Monitoring Memo — AML-RF-008**

## Alert, Trigger, and Governing Standard

**Alert ID:** AML-RF-008.

**Observed trigger:** The alert was generated because Pine Basin Architects received two payments of **$9,800** and **$9,950**, each just below the internal **$10,000 cash-review marker**. [client withdrawal plan]

**Customer expected activity:** Pine Basin Architects’ expected activity is **domestic ACH receipts from clients** and **payroll outflows**. [client withdrawal plan]

**Governing AML standard:** Broker-dealer AML procedures should identify red flags and support escalation where facts indicate suspicious transactions; SAR analysis generally applies to transactions involving at least **$5,000** where the broker-dealer knows, suspects, or has reason to suspect that the activity involves illegal funds, BSA evasion, no apparent lawful purpose, activity outside expected customer behavior without explanation, or use of the broker-dealer to facilitate criminal activity. [stress-capacity worksheet]

**Classification-policy requirement:** If an alert is closed without escalation, the reviewer must document the observed trigger, evidence supporting closure, any res..."
tonight_hard_line_196,"Execution, Monitoring, Reporting, and Operations",Portfolio monitoring,0.9,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and decisions have active source labels next to them.,"**Alternative Investment Pacing Review — Redwood Private Markets Program**

Scope/as-of-date: review uses August 1, 2026 data from the order ticket. Under the Pacing Review Instructions, the review must test commitments against target/bands, calculate unfunded commitments as a percentage of portfolio value, determine Investment Committee review, compare return to benchmark, and recommend Pause or Continue (correction procedure).

| Evidence | Test | Result | Action |
|---|---|---|---|
| 2026 commitment pacing target $6,000,000; lower band $5,000,000; upper band $7,000,000 (confirmation draft). YTD commitments $7,450,000 (order ticket). | Compare YTD commitments to target and bands. Formula: $7,450,000 − $6,000,000 = $1,450,000 above target; $7,450,000 − $7,000,000 = $450,000 above upper band. | Commitments are above target by $1,450,000 and above the upper pacing band by $450,000. | Over-band pacing supports pausing new commitments pending review. |
| Total portfolio value $42,000,000 and unfunded commitments $8,100,000 (order ticket). Limit: unfunded commitments should not exceed 18.00% without Investment Committee review (confirmation draft). | Calculate unfunded percentage. For..."
