tag,priority_rank_within_tag,item_id,source_line,workflow,task,work_product,if_score,quality_score,failed_tag_count,failed_tags,family,check_type,method,constraint,reason,audit_focus
QV2,1,tonight_hard_line_055,55,Decision and Structuring,Loan approval package,missing-evidence cure plan,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Calculations lack full source inputs and implications.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,2,tonight_hard_line_095,95,Decision and Structuring,Portfolio proposal,restricted-list replacement proposal,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Calculations lack detailed source inputs and formulas.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,3,tonight_hard_line_125,125,Decision and Structuring,Capital structure / financing proposal,leverage target deleveraging proposal,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.","Some calculations lack detailed source inputs, formulas, and implications.","Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,4,tonight_hard_line_253,253,Decision and Structuring,Credit memo drafting,collateral shortfall credit memo,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Some calculations lack detailed source inputs and business implications.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,5,tonight_hard_line_288,288,Decision and Structuring,Capital structure / financing proposal,liquidity runway financing proposal,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.","Some calculations lack detailed source inputs, formulas, and business implications.","Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,6,tonight_hard_line_331,331,Decision and Structuring,Investment memo,tactical allocation memo,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Calculations lack detailed source inputs and business implications.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,7,tonight_hard_line_166,166,"Execution, Monitoring, Reporting, and Operations",Portfolio monitoring,cash drag monitoring note,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Some calculations lack explicit formulas and business implications.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,8,tonight_hard_line_206,206,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,investment thesis update,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",ARR shortfall calculation lacks full formula and business implication.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,9,tonight_hard_line_301,301,"Execution, Monitoring, Reporting, and Operations",Client review report,restricted cash and collateral monitor,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",The response lacks detailed formulas and business implications for some calculations.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
QV2,10,tonight_hard_line_340,340,Intake and Profiling,KYC onboarding,individual KYC missing-document request,,3,2,"EG2,QV2",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested calculation, reconciliation, variance, threshold test, date count, headroom, or shortfall, the response must show source inputs, formula or comparison, final result, and business implication; a bare computed number does not satisfy this requirement.",Response lacks detailed calculation steps and business implications.,"Each required calculation should show source inputs, formula/comparison, result, and business implication."
DB9,1,tonight_hard_line_255,255,Research and Due Diligence,Investment due diligence,co-investment allocation diligence note,,5,1,DB9,Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and calculations are presented as checklist fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,2,tonight_hard_line_140,140,Intake and Profiling,Service scope explanation,client FAQ,,3,2,"DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and actions are presented as checklist fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,3,tonight_hard_line_153,153,Intake and Profiling,Service scope explanation,document request email,,3,2,"DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and recommendations are presented as checklist fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,4,tonight_hard_line_202,202,Intake and Profiling,Counterparty / issuer profile construction,counterparty onboarding profile,,3,2,"DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and recommendations are presented as disconnected fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,5,tonight_hard_line_330,330,Intake and Profiling,Loan application intake,commercial real estate intake package gap list,,3,2,"DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",The response presents facts and recommendations as checklist fragments without a single reasoning chain.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,6,tonight_hard_line_048,48,Risk and Compliance Review,Risk disclosure review,plain-English risk factor rewrite,,3,2,"DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.","Response lacks a clear reasoning chain connecting evidence, rule, and action.","Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,7,tonight_hard_line_013,13,Decision and Structuring,Underwriting memo,SBA change-of-ownership underwriting note,,3,3,"DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and recommendations are presented as checklist fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,8,tonight_hard_line_161,161,Decision and Structuring,Credit memo drafting,late-reporting covenant consent memo,,3,3,"DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and actions are presented as fragments.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,9,tonight_hard_line_264,264,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,board minutes action item extract,,3,3,"DB7,DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.","Response lacks a single reasoning chain connecting evidence, rule, and action.","Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
DB9,10,tonight_hard_line_273,273,"Execution, Monitoring, Reporting, and Operations",Remediation tracking,remediation communications brief,,3,3,"DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"The response must connect active evidence, governing rule or task standard, and final action in a single reasoning chain; it must not present facts, calculations, and recommendations as disconnected checklist fragments.",Facts and actions are presented as checklist fragments without a reasoning chain.,"Evidence, rule, and action should form one reasoning chain rather than disconnected fragments."
QV5,1,tonight_hard_line_163,163,"Execution, Monitoring, Reporting, and Operations",Portfolio monitoring,sector concentration watch log,,6,1,QV5,Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.","As-of date test lacks formula, timing status, and business implication.","Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,2,tonight_hard_line_108,108,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,liquidity risk committee report,,5,1,QV5,Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.","No source dates, formula, timing status, or implication for as-of-date test.","Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,3,tonight_hard_line_008,8,"Execution, Monitoring, Reporting, and Operations",Reconciliation,failed-trade receivable reconciliation note,,3,2,"EG2,QV5",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.",The response lacks full timing status and business implications for date tests.,"Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,4,tonight_hard_line_205,205,Risk and Compliance Review,AML red-flag review,rapid round-dollar transfer alert,,3,2,"EG2,QV5",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.",The response does not show source dates for timing calculations.,"Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,5,tonight_hard_line_148,148,Research and Due Diligence,Earnings review,margin variance note,,3,4,"DB9,EG2,QV2,QV5",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.",No timing evidence or implications shown.,"Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,6,tonight_hard_line_131,131,Risk and Compliance Review,Covenant check,capex covenant variance memo,,3,4,"EG2,QV2,QV5,QV6",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.",No source dates or timing status are shown for the as-of-date test.,"Date/deadline tests should show source dates, timing logic, final status, and business implication."
QV5,7,tonight_hard_line_313,313,"Execution, Monitoring, Reporting, and Operations",Client review report,credit-quality migration monitor,,2,5,"DB7,DB9,EG2,QV2,QV5",Quantitative Verification,LLM,judge:openai:gpt-4o,"For every requested deadline, review window, date count, aging bucket, retention period, or as-of-date test, the response must show source dates, formula or comparison, final timing status, and business implication.",As-of-date test lacks timing status and business implication.,"Date/deadline tests should show source dates, timing logic, final status, and business implication."
DB7,1,tonight_hard_line_071,71,Decision and Structuring,Trade order ticket preparation,stop-limit equity ticket,,3,1,DB7,Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",Does not name required approver or prerequisite for readiness.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,2,tonight_hard_line_223,223,"Execution, Monitoring, Reporting, and Operations",Portfolio monitoring,bond maturity ladder monitoring table,,3,1,DB7,Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",The response does not name a required approver or prerequisite for the Rebalance review.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,3,tonight_hard_line_315,315,"Execution, Monitoring, Reporting, and Operations",Reconciliation,materiality threshold disposition memo,,3,2,"DB7,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",The response does not name a required approver or prerequisite for closure.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,4,tonight_hard_line_264,264,"Execution, Monitoring, Reporting, and Operations",Board / regulatory reporting,board minutes action item extract,,3,3,"DB7,DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"Every approval, rejection, hold, escalation, exception, classification, recommendation, or boundary must name the controlling active-case trigger and state why a softer or opposite outcome is not supported.",Not all approvals and decisions name the controlling trigger and why softer outcomes are unsupported.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,5,tonight_hard_line_031,31,Intake and Profiling,Counterparty / issuer profile construction,management background capsule,,3,3,"DB7,EG2,FP3",Decision and Boundary,LLM,judge:openai:gpt-4o,"Every approval, rejection, hold, escalation, exception, classification, recommendation, or boundary must name the controlling active-case trigger and state why a softer or opposite outcome is not supported.",Not all actions name the controlling active-case trigger and justify the outcome.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,6,tonight_hard_line_123,123,Intake and Profiling,Client risk profiling,changed-circumstances profile update memo,,3,3,"DB7,DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",The response implies a review prerequisite but does not name a required approver or prerequisite.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,7,tonight_hard_line_113,113,Risk and Compliance Review,Sales-script / communication compliance,call-script compliance checklist,,3,3,"DB7,DB9,EG2",Decision and Boundary,LLM,judge:openai:gpt-4o,"Every approval, rejection, hold, escalation, exception, classification, recommendation, or boundary must name the controlling active-case trigger and state why a softer or opposite outcome is not supported.",Controlling triggers are not named for all decisions.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,8,tonight_hard_line_056,56,Decision and Structuring,Capital structure / financing proposal,interest-rate hedge and refinancing proposal,,3,4,"DB7,DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",Required approver or prerequisite is not named.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,9,tonight_hard_line_268,268,Decision and Structuring,Capital structure / financing proposal,cash-sweep recapitalization memo,,3,4,"DB7,DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",Approval prerequisites are mentioned but not clearly named or detailed.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
DB7,10,tonight_hard_line_286,286,Decision and Structuring,Capital structure / financing proposal,sponsor-versus-lender proposal,,3,4,"DB7,DB9,EG2,QV2",Decision and Boundary,LLM,judge:openai:gpt-4o,"If approval, authorization, authority evidence, or a review prerequisite controls the outcome, the response must name the required approver or prerequisite and must not imply approval while that prerequisite is missing.",Required approver or prerequisite is not named for the outcome.,"Approver, authority evidence, prerequisite, or escalation boundary must be named explicitly."
