bench_id,workflow,task,line_number,sem_tags,all_tags,rarity_keep_score,task_pass_count,generic_hits,keep_hits,selection_score,query
tonight_hard_line_262,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,262,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Build a post-loan annual review action plan for Willow Creek Specialty Chemicals. Group each item as Covenant, Documentation, or Business Update; test DSCR and leverage against their covenants; assign owner, due date, and Open, Completed, or Escalate status; and make sure the leverage breach is not treated as only a documentation request. Use only the provided documents and cite the visible material labels for material facts. Produce the post-loan annual review action plan under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the post-loan annual review action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the post-loan annual review action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_358,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,358,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0734,5,6,0,16.927,"Create a post-close covenant review table for Maple Grove Distribution Inc. with columns Requirement, Deadline, Evidence Status, Test Result, Exception Yes/No, and Next Step. Test availability against the $7.5 million minimum, identify missing evidence after the 45-day deadline, and state whether the package can be marked complete. Use only the provided documents and cite the visible material labels for material facts. Produce the post-close covenant review table under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-close covenant review table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_146,Research and Due Diligence,Industry and market research,146,DB6;DB9;EG1;EG2;EG5;QV2,DB6;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.0909,5,6,0,16.909,"Assemble a pricing pressure note for LakeAxis. Calculate the 2023-to-2025E list-price decline and the average 2025E discount, apply the the material labeled owner field note high/moderate/low pressure rule, connect the finding to the usage-based revenue mix, cite visible material labels, and explicitly say whether gross margin impact is unavailable. Produce the pricing pressure note under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the pricing pressure note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_072,Risk and Compliance Review,Internal control review,72,DB4;DB9;EG1;EG2;EG5;FP1;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.2401,5,6,0,16.76,"Write a journal-entry approval control memo for JE-5197. Separate approval failure from documentation failure under different headings. Use only the context documents, cite the policy threshold and close-binder evidence, determine whether independent approval occurred, identify missing records, and apply the issue rating guide without combining the two deficiencies into one finding. Produce the journal-entry approval control memo under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the journal-entry approval control memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the journal-entry approval control memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_357,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,357,DB4;DB9;EG1;EG2;QV2,DB4;DB9;EG1;EG2;FP1;FP3;FP4;FP6;QV2,0.053,6,5,0,15.947,"Draft a rating downgrade alert for Northvale Health Systems. Use only the supplied documents, cite the downgrade and exposure facts, verify whether both the below-investment-grade and 1.5% NAV triggers are met, identify the split-rating status, do not imply Agency B downgraded the issuer, name the analyst, and include the required watch-list and credit committee timing. Produce the rating downgrade alert under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the rating downgrade alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the rating downgrade alert with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_110,Decision and Structuring,Portfolio proposal,110,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,4,6,0,15.927,"Prepare a municipal bond allocation proposal for Sage Taxable Portfolio. Present the output as current and pro forma exposure table. Use only the provided documents and cite the visible material labels for material facts. The proposal must calculate pro forma in-state municipal exposure; verify whether the A rating meets policy; recommend proceed, resize, or decline; and avoid giving tax advice beyond portfolio context. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the municipal bond allocation proposal under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the municipal bond allocation proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the municipal bond allocation proposal to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_175,Decision and Structuring,Portfolio proposal,175,DB4;DB9;EG1;EG2;EG5;QV2,DB4;DB9;EG1;EG2;EG5;FP3;FP4;FP6;QV2,0.0734,4,6,0,15.927,"Prepare a tactical overlay proposal for Northgate Balanced Portfolio. Present the output as bulleted overlay note. Use only the provided documents and cite the visible material labels for material facts. The proposal must calculate post-overlay weights; compare the tilt with the plus or minus 4 percentage point band; decide approve, scale back, or reject; and avoid market-timing certainty language. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the tactical overlay proposal under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the tactical overlay proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the tactical overlay proposal to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_221,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,221,DB4;DB8;DB9;EG1;EG2;QV2,DB4;DB8;DB9;EG1;EG2;FP2;FP3;FP4;FP6;QV2,0.1196,6,5,0,15.88,"Prepare an ESG controversy alert for GreenFields Mining. Use only the provided documents, cite the vendor score change and exposure, explain why the alert is triggered even though exposure is below 1% of NAV, describe the event as vendor-reported, avoid independently confirming environmental liability, name the analyst owner, and include the required follow-up items. Produce the ESG controversy alert under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the ESG controversy alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_238,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,238,DB1;DB9;EG1;EG2;EG5;QV2,DB1;DB9;EG1;EG2;EG5;FP2;FP3;FP4;FP6;QV2,0.1473,6,5,0,15.853,"Write an escalation/no-escalation decision note for Horizon Endowment. Use only the supplied documents, cite each indicator, decide whether escalation is required, explain why the volatility and liquidity metrics do not independently require escalation, identify the pending restricted security flag as the escalation basis, name the portfolio owner and compliance queue, and include the required action with deadline. Produce the escalation/no-escalation decision note under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the escalation/no-escalation decision note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_147,Decision and Structuring,Portfolio proposal,147,DB1;DB4;DB9;EG1;EG2;EG5;QV2,DB1;DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.1643,4,6,0,15.836,"Prepare a covered-call overlay suitability proposal for Briar Income Portfolio. Present the output as recommendation at the end. Use only the provided documents and cite the visible material labels for material facts. The proposal must compare the proposed 10% sleeve with current allocation; determine whether missing options approval blocks proceeding; recommend proceed, hold, or escalate; and do not treat sponsor yield as guaranteed income. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the covered-call overlay suitability proposal under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the covered-call overlay suitability proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the covered-call overlay suitability proposal with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_157,Intake and Profiling,Missing information checklist,157,DB4;DB9;EG1;EG2;EG5;FP3;QV2,DB4;DB9;EG1;EG2;EG5;FP1;FP3;FP4;FP6;QV2,0.2401,4,6,0,15.76,"Write an authorization gap notice for the Willow Hart joint advisory file. Use only the provided context. Format the notice as exactly four bullets: Missing authorization, Evidence conflict, Client follow-up, and Internal hold. Explain which signatures or authority evidence are absent, cite visible material labels, identify blocker versus non-blocker items, and avoid recommending any investment action while the authority gap remains. Produce the authorization gap notice under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the authorization gap notice with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the authorization gap notice with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
