bench_id,workflow,task,sem_tags,task_pass_count,selection_score,query
tonight_hard_line_103,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB7;DB9;EG1;EG2;QV2;QV6,6,15.835,"Draft a lease remeasurement close memo for Orion Warehousing August 2026. Use only the provided documents, cite visible material labels, identify the modification event, compare existing lease liability with revised present value, compute the remeasurement adjustment, verify reviewer approval status, and decide whether the entry can be posted. Produce the lease remeasurement close memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the lease remeasurement close memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_249,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB9;EG1;EG2;EG4;QV2;QV6,6,15.667,"Prepare a disclosure support tie-out note for Orchard Bank Q2 2026. Use only the provided documents, cite visible material labels for each disclosed amount, compare the draft footnote to trial-balance and Treasury support, compute differences for total commitments and unused commitments, identify unresolved mismatches, and decide whether reporting-manager escalation is required. Produce the disclosure support tie-out note under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication. Open the disclosure support tie-out note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_312,Risk and Compliance Review,Internal control review,DB9;EG1;EG2;EG5;QV2,5,14.92,"Draft a complaint-intake control deficiency memo for CI-612. Use only the context documents. Classify whether the email is a written complaint or oral service issue under the procedure, test one-business-day logging and five-business-day acknowledgement requirements, identify missing Compliance assignment, and name the corrective action owner needed to remediate the intake control. Produce the complaint-intake control deficiency memo under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the complaint-intake control deficiency memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the complaint-intake control deficiency memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_308,Risk and Compliance Review,Regulatory issue escalation,DB4;DB9;EG1;EG2;EG5;QV2,3,14.897,"Draft a short-sale compliance escalation brief for ESC-2024. Identify order count, security scope, manual override reason, locate evidence gap, and fail-to-deliver check. cite visible material labels, compare the 83 orders to the escalation threshold, name required recipients, and do not state that the short sales were unlawful. Produce the short-sale compliance escalation brief under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the short-sale compliance escalation brief with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_087,Intake and Profiling,Loan application intake,DB4;DB9;EG1;EG2;EG5;QV2,3,14.897,"Draft a collateral intake completeness note for Canyon Tooling LLC. Use only the provided context, cite visible material labels for each factual point, and separate documented collateral from borrower-stated collateral. Calculate preliminary documented collateral coverage under the policy, flag collateral gaps caused by missing valuation, missing serial numbers, missing UCC search, or prior liens, and end with the evidence needed before credit review. Do not assign a final collateral value or approve credit. Produce the collateral intake completeness note under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the collateral intake completeness note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the collateral intake completeness note with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_330,Intake and Profiling,Loan application intake,DB4;DB9;EG1;EG2;EG5;QV2,3,14.897,"Prepare a commercial real estate intake package gap list for Ironwood Flats LLC. Use only the provided context and cite visible material labels. Separate borrower-identity items from property/collateral items, identify CRE-specific missing or stale documents, and state the corrected project-address requirement. Do not provide a property valuation conclusion or credit approval. Produce the commercial real estate intake package gap list under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the commercial real estate intake package gap list with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the commercial real estate intake package gap list to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_275,Risk and Compliance Review,Regulatory issue escalation,DB4;DB9;EG1;EG2;EG5;QV2,3,14.897,"Assemble a vendor-risk escalation packet for ESC-2021. Score each trigger as Met, Not met, or Unknown; cite visible material labels; compare notice delay and service outage to the 24-hour thresholds; identify required recipients; list missing forensic and notice-analysis facts; and do not state that data exfiltration occurred. Produce the vendor-risk escalation packet under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the vendor-risk escalation packet with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the vendor-risk escalation packet to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_289,Risk and Compliance Review,Covenant check,DB4;DB9;EG1;EG2;EG5;QV2,3,14.897,"Assess whether the Horizon Biofuels cross-default trigger is met. Organize the answer as Amount Test, Default Status, Acceleration Right, Open Evidence, and Escalation Recommendation. Use only the provided materials, compare the other debt amount with the $2.0 million threshold, identify what is confirmed versus still unverified, and do not state that acceleration has occurred unless the documents say so. Produce the cross-default trigger assessment under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the cross-default trigger assessment with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_009,Research and Due Diligence,Financial statement analysis,DB4;DB6;DB9;EG1;EG2;QV2,3,14.88,"Build a covenant waiver evidence checklist for Granite Solar. Use rows for each covenant and separate rows for missing waiver evidence. Use only the documents, cite visible material labels, calculate net leverage and interest coverage, mark each covenant as Pass, Breach, or Cannot determine, list the missing consent/payment schedule/CFO certification evidence, and do not state that a waiver is granted. Produce the covenant waiver evidence checklist under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the covenant waiver evidence checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_137,Research and Due Diligence,Financial statement analysis,DB4;DB6;DB9;EG1;EG2;QV2,3,14.88,"Prepare a products/services mix benchmark for Nimbus Mobile using Apple as the comparable. Use one table and three bullets. Use only the context, cite visible material labels, calculate services revenue share and category gross margins for both companies, compute Nimbus Mobile services-share gap versus Apple, flag whether the mix-gap rule is triggered, and do not present Apple as the company being analyzed. Produce the products/services mix benchmark under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the products/services mix benchmark with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the products/services mix benchmark with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_083,Research and Due Diligence,Background screening,DB6;DB9;EG1;EG2;EG5;QV2,3,14.875,"Draft an adverse media triage note for Riverton Solar Storage. Classify each media item as High, Medium, Low, or Insufficient-source, count the items in each class, cite visible material labels beside each item, and end with whether Compliance escalation is needed now or only after follow-up evidence. Keep allegations separate from confirmed facts. Produce the adverse media triage note under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the adverse media triage note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_146,Research and Due Diligence,Industry and market research,DB6;DB9;EG1;EG2;EG5;QV2,3,14.875,"Assemble a pricing pressure note for LakeAxis. Calculate the 2023-to-2025E list-price decline and the average 2025E discount, apply the the material labeled owner field note high/moderate/low pressure rule, connect the finding to the usage-based revenue mix, cite visible material labels, and explicitly say whether gross margin impact is unavailable. Produce the pricing pressure note under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the pricing pressure note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_067,"Execution, Monitoring, Reporting, and Operations",Reconciliation,DB4;DB7;DB9;EG1;EG2;EG5;QV2,3,14.865,"Build a cash ledger break table for Oakline Treasury Sweep. Start from the bank statement and internal cash ledger balances, subtract only the documented deposit in transit, compute the adjusted cash variance, apply the $100 open-break threshold, assign the owner, include an aging bucket, and list the records that must remain traceable. Use only the provided materials and do not mark the item reconciled if the adjusted break remains above threshold. Produce the cash ledger break table under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the cash ledger break table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the cash ledger break table with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
